code,name,new_price,pre_close,change_rate,high,low,volume,amount,turnover,industry,area,macd_golden,kdj_golden,break_ma5,break_ma10,break_ma20,upper_volume,down_volume,upside_volume,reversing_hammer,win_3d,win_5d,win_10d,change_3d,change_5d,change_10d,technical_score,signals,trend
601015,陕西黑猫,5.16,4.97,3.82,5.25,5.0,766730,394312176,3.75,煤炭,陕西省,0,0,0,1,0,0,0,0,0,b'\x00',b'\x00',b'\x00',3.41,15.96,-0.19,35,['均线突破(突破10日线)'],强势
601016,节能风电,3.3,3.31,-0.3,3.32,3.25,454459,148871167,0.77,电力,北京,0,0,0,0,0,1,0,0,0,b'\x00',b'\x00',b'\x00',3.13,6.45,5.1,35,['放量上涨'],强势
601020,华钰矿业,39.5,38.72,2.01,40.59,37.85,245203,956935880,2.99,基本金属,西藏自治区,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',11.49,21.31,27.79,30,[],极强
601021,春秋航空,53.9,55.0,-2.0,54.37,53.05,25234,135340220,0.26,航空机场,上海,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-2.64,-5.07,-8.6,0,[],弱势
601026,道生天合,20.65,20.53,0.58,20.66,20.3,12761,26096075,1.19,化学新材料,上海,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',0.34,4.03,4.29,10,[],温和
601033,永兴股份,15.6,15.55,0.32,15.64,15.36,16168,25053171,0.67,环保,广东省,1,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',2.5,4.21,2.3,35,['MACD金叉'],温和
601038,一拖股份,14.71,14.87,-1.08,14.79,14.55,25824,37912933,0.35,专用设备,河南省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-1.67,3.16,7.84,0,[],弱势
601059,信达证券,17.64,17.71,-0.4,17.65,17.6,25010,44083651,0.08,非银行金融,北京,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-0.9,-0.73,-0.17,0,[],弱势
601061,中信金属,15.91,15.91,0.0,16.16,15.51,101248,160815986,2.02,贸易,北京,0,0,0,0,0,1,0,0,0,b'\x00',b'\x00',b'\x00',5.09,10.49,11.81,35,['放量上涨'],强势
601065,江盐集团,8.91,8.93,-0.22,8.92,8.84,20813,18479274,0.5,化学原料,江西省,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',1.6,5.69,3.73,10,[],温和
601066,中信建投,23.62,23.85,-0.96,23.78,23.52,21693,51284186,0.03,非银行金融,北京,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',-1.3,-1.67,-2.84,0,[],弱势
601068,中铝国际,6.39,6.41,-0.31,6.39,6.26,71193,45055172,0.28,建筑施工,北京,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',0.47,15.76,11.71,10,[],温和
601069,西部黄金,37.09,36.26,2.29,38.45,36.78,249312,937527573,2.81,贵金属,新疆维吾尔自治区,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',3.34,9.41,5.22,20,[],强势
601083,锦江航运,12.53,12.53,0.0,12.99,12.4,89210,113067756,4.6,港口航运,上海,0,0,0,0,0,0,0,0,0,b'\x00',b'\x00',b'\x00',3.81,9.15,6.01,20,[],强势
